protein_acc,Category
AUX62840.1,human
AXO85837.1,human
EEU1436664.1,human
EEV6173070.1,animal
EEW3329860.1,unknown
EEW4813662.1,unknown
EEW8726975.1,unknown
EEW8731021.1,animal
EFA4797329.1,human
GG749165.1,unknown
EFH3871650.1,food
EFI6377046.1,animal
EFJ1935778.1,environmental
EFM6015040.1,animal
EFP6907317.1,human
EFW0658533.1,human
EFW7504363.1,unknown
EGD7149000.1,human
EGD7494482.1,human
EGE6595580.1,human
EGI3990927.1,animal
EGK9459686.1,water
EGM7792188.1,unknown
EGP 4638213.10,food
EHK7383385.1,human
EHR8279536.1,animal
EHT1093178.1,food
EIH4672592.1,animal
EII3506183.1,human
EJG6373082.1,food
EJN2315801.1,human
EJV4778219.1,human
EKY4422489.1,food
ELD0454108.1,food
ELT8056872.1,food
EMB7580293.1,animal
EMC8919671.1,unknown
ENB6026857.1,human
ENC4016066.1,human
ENJ2135865.1,food
ENQ0474387.1,animal
EOL9381336.1,animal
EOS9672554.1,animal
EOV3886154.1,human
EOY4627736.1,human
EOZ4159303.1,animal
EPD1771162.1,human
EPF4174552.1,human
EPF4820813.1,human
EPM3633048.1,food
HAH9781167.1,human
HAN7998722.1,food
HAX4785037.1,environmental
HBB1443132.1,unknown
HBB1465758.1,uknown
HBC9809122.1,animal
HBE6260377.1,animal
HBE6604389.1,animal
HBJ0688907.1,animal
HBK9204701.1,human
HCB9557601.1,human
HCP4598602.1,human
HCP5163438.1,human
HDT0929104.1,human
HEB1223389.1,animal
HEB1528362.1,human
HFV8724395.1,animal
HGW4900886.1,human
MBA8428019.1,animal
MBB8027460.1,animal
MBB9061957.1,animal
MBB9272976.1,animal
MBC1087149.1,animal
MBY7176877.1,animal
MCE7719977.1,animal
MCI7296858.1,animal
MCQ8939922.1,animal
MCV5860613.1,food
MCZ8625746.1,human
MCZ8639243.1,human
MDY7944121.1,animal
MWN22048.1,unknown
OYL32947.1,human
PAQ66758.1,human
PHL26444.1,human
QZY67774.1,environmental
SPX06188.1,unknown
SQP90993.1,animal
STH86688.1,unknown
UMS18956.1,animal
WDC28796.1,animal
WMV65795.1,animal